Year,Month,Day,Precip (in),Max (F),Min (F),Dew (F),Solrad (L)
2000,4,27,0.000,89.448,55.238,27.090,715.712
2000,4,28,0.000,88.807,55.999,29.769,712.126
2000,4,29,0.000,83.305,50.038,24.397,718.688
2000,4,30,0.000,78.218,45.810,21.711,728.964
2000,5,1,0.000,82.238,49.999,19.167,740.156
2000,5,2,0.000,86.503,57.533,20.940,739.619
2000,5,3,0.000,88.117,50.658,25.682,739.769
2000,5,4,0.000,88.906,52.168,28.783,735.724
2000,5,5,0.000,87.835,54.097,28.946,732.258
2000,5,6,0.000,85.935,56.501,35.852,731.292
2000,5,7,0.000,85.999,56.729,28.934,744.560
2000,5,8,0.000,84.766,55.796,28.237,723.437
2000,5,9,0.000,86.864,55.775,41.170,714.855
2000,5,10,0.000,88.365,55.858,37.815,728.445
2000,5,11,0.000,85.897,60.332,38.674,730.113
2000,5,12,0.000,80.893,50.497,26.283,726.532
2000,5,13,0.000,83.490,53.456,16.544,760.706
2000,5,14,0.000,91.328,56.516,16.687,752.887
2000,5,15,0.000,92.481,63.520,23.126,753.963
2000,5,16,0.000,89.668,61.355,21.856,740.590
2000,5,17,0.000,78.384,46.228,23.881,758.715
2000,5,18,0.000,79.520,53.007,22.306,761.307
2000,5,19,0.000,82.436,55.609,26.696,757.766
2000,5,20,0.000,85.006,57.673,27.894,737.864
2000,5,21,0.000,89.547,60.070,28.112,746.535
2000,5,22,0.000,93.107,60.250,31.318,752.474
2000,5,23,0.000,92.430,59.289,35.237,741.790
2000,5,24,0.000,90.998,60.168,37.115,744.862
2000,5,25,0.000,89.227,58.776,31.193,751.560
2000,5,26,0.000,85.729,56.881,34.577,749.320
2000,5,27,0.000,90.427,55.563,36.065,702.978
2000,5,28,0.000,95.511,65.858,37.314,757.977
2000,5,29,0.000,96.931,61.528,37.057,748.081
2000,5,30,0.000,95.909,64.213,32.623,724.300
2000,5,31,0.000,91.855,64.328,40.680,700.774
2000,6,1,0.285,89.322,64.688,42.451,673.160
2000,6,2,0.000,87.721,63.162,48.585,652.910
2000,6,3,0.000,89.363,63.458,49.567,707.204
2000,6,4,0.000,91.996,60.046,33.785,728.241
2000,6,5,0.000,93.543,62.301,34.058,675.235
2000,6,6,0.000,91.269,64.192,46.740,487.288
2000,6,7,0.000,93.331,67.344,42.839,631.232
2000,6,8,0.000,88.073,65.837,45.960,525.429
2000,6,9,0.000,83.321,61.120,50.450,573.110
2000,6,10,0.000,83.988,56.492,44.020,688.216
2000,6,11,0.000,89.473,59.080,41.138,691.881
2000,6,12,0.000,92.912,57.885,33.047,637.453
2000,6,13,0.000,95.356,60.258,37.258,674.391
2000,6,14,0.000,94.056,62.723,34.156,743.896
2000,6,15,0.000,93.358,66.496,35.515,751.124
2000,6,16,0.000,93.169,65.341,40.368,745.383
2000,6,17,0.000,90.549,67.679,52.129,634.141
2000,6,18,0.000,81.907,61.996,59.171,482.255
2000,6,19,0.000,81.618,63.976,59.255,392.210
2000,6,20,0.190,81.635,61.102,59.462,464.767
2000,6,21,0.000,84.985,63.276,56.746,648.852
2000,6,22,0.370,89.389,66.303,53.546,497.169
2000,6,23,0.010,83.398,62.435,58.660,451.331
2000,6,24,0.000,84.049,61.256,59.075,630.277
2000,6,25,0.000,90.159,62.577,52.252,721.811
2000,6,26,0.000,90.681,67.578,48.696,663.815
2000,6,27,0.450,90.162,69.008,53.634,514.722
2000,6,28,0.000,83.503,65.575,61.749,317.051
2000,6,29,0.410,76.163,63.203,60.779,346.049
2000,6,30,0.000,79.134,61.859,62.491,375.747
2000,7,1,0.000,80.151,66.136,63.826,372.835
2000,7,2,0.000,82.276,62.063,62.129,443.445
2000,7,3,0.000,84.222,64.020,59.982,586.994
2000,7,4,0.000,87.866,60.231,51.075,675.382
2000,7,5,0.000,89.466,60.537,46.679,763.073
2000,7,6,0.000,88.753,60.080,44.598,678.637
2000,7,7,0.455,84.813,62.244,52.113,557.798
2000,7,8,0.000,85.511,62.956,59.091,510.179
2000,7,9,0.105,87.117,65.652,55.775,483.393
2000,7,10,0.000,89.488,65.565,49.762,549.953
2000,7,11,0.000,89.585,61.630,49.117,533.645
2000,7,12,0.000,89.478,63.602,45.874,598.716
2000,7,13,0.120,89.278,66.580,46.898,404.809
2000,7,14,0.000,87.477,68.352,56.767,397.486
2000,7,15,0.000,89.228,65.405,57.272,540.165
2000,7,16,0.000,90.043,64.292,53.769,446.476
2000,7,17,0.000,89.637,65.085,54.695,697.147
2000,7,18,0.000,94.069,66.803,53.187,528.013
2000,7,19,0.000,94.748,67.065,52.193,635.274
2000,7,20,0.000,93.039,66.632,54.258,680.439
2000,7,21,0.000,92.666,67.143,54.737,633.109
2000,7,22,0.000,89.981,68.274,54.934,654.954
2000,7,23,0.315,91.559,68.794,54.804,693.934
2000,7,24,0.000,93.973,64.819,51.591,721.651
2000,7,25,0.000,93.224,65.642,52.899,566.319
2000,7,26,0.000,91.367,68.838,54.399,598.669
2000,7,27,0.055,93.672,67.571,54.418,657.517
2000,7,28,0.365,93.622,67.602,55.812,589.039
2000,7,29,0.000,91.829,68.408,57.645,633.393
2000,7,30,0.050,89.384,67.235,58.032,592.539
2000,7,31,0.000,87.788,61.838,54.182,590.575
2000,8,1,0.000,89.077,67.918,49.709,603.287
2000,8,2,0.000,90.803,64.296,50.251,683.722
2000,8,3,0.000,91.791,64.840,53.820,695.782
2000,8,4,0.155,92.982,68.227,52.582,649.773
2000,8,5,0.010,93.304,66.488,53.744,479.851
2000,8,6,0.735,83.929,64.883,57.110,459.829
2000,8,7,0.000,79.628,63.057,62.847,527.153
2000,8,8,0.000,82.432,60.169,62.800,362.210
2000,8,9,1.020,83.765,66.258,62.795,543.970
2000,8,10,0.310,84.498,63.468,64.287,542.220
2000,8,11,0.680,83.574,68.122,62.976,362.752
2000,8,12,0.000,86.048,65.345,61.776,502.995
2000,8,13,0.010,87.442,64.720,60.111,602.681
2000,8,14,0.000,86.999,65.337,57.758,558.931
2000,8,15,0.000,92.036,64.111,56.094,591.181
2000,8,16,0.000,91.302,63.784,52.548,691.239
2000,8,17,0.910,92.094,67.021,54.785,578.363
2000,8,18,0.085,85.745,63.505,62.437,357.595
2000,8,19,0.000,89.767,65.406,56.810,486.426
2000,8,20,0.685,87.934,62.411,55.883,443.306
2000,8,21,0.000,89.146,66.094,57.023,542.953
2000,8,22,0.000,88.917,63.544,55.368,578.105
2000,8,23,0.010,86.177,61.555,56.667,386.745
2000,8,24,0.000,84.577,62.398,56.657,474.333
2000,8,25,0.085,85.801,64.691,55.873,470.840
2000,8,26,0.000,86.397,65.145,59.105,365.584
2000,8,27,0.700,80.900,65.637,59.555,300.412
2000,8,28,0.260,74.142,62.294,63.012,363.021
2000,8,29,0.010,75.310,59.579,60.620,307.950
2000,8,30,0.600,75.859,57.351,56.903,475.448
2000,8,31,0.000,80.397,55.879,53.044,599.583
2000,9,1,0.000,82.215,60.550,48.659,620.406
2000,9,2,0.000,83.170,59.772,47.292,611.460
2000,9,3,0.000,87.239,59.419,48.156,551.760
2000,9,4,0.000,90.082,65.008,49.985,420.149
2000,9,5,0.000,89.417,66.811,52.090,469.191
2000,9,6,0.000,87.912,65.359,50.671,535.209
2000,9,7,0.000,91.764,65.996,51.412,494.103
2000,9,8,0.000,91.005,65.806,52.273,345.592
2000,9,9,0.000,86.973,59.750,52.556,446.855
2000,9,10,0.000,84.764,63.890,53.584,550.511
2000,9,11,0.000,85.071,63.336,58.820,532.052
2000,9,12,0.000,88.222,59.864,50.404,578.675
2000,9,13,0.000,91.344,65.742,46.190,596.796
2000,9,14,0.000,91.621,67.527,43.121,581.249
2000,9,15,0.000,90.200,64.903,45.653,574.008
2000,9,16,0.000,86.923,63.130,46.144,567.919
2000,9,17,0.000,86.427,62.745,44.602,560.802
2000,9,18,0.000,85.703,59.515,50.690,516.330
2000,9,19,0.000,83.909,61.518,51.937,513.013
2000,9,20,0.000,85.758,57.463,52.112,511.709
2000,9,21,0.000,83.794,64.782,54.625,484.382
2000,9,22,0.000,83.194,58.438,54.464,479.544
2000,9,23,0.000,81.364,60.908,51.071,398.851
2000,9,24,0.000,79.484,54.233,49.955,512.466
2000,9,25,0.000,79.517,55.803,42.021,532.272
2000,9,26,0.160,84.014,58.864,43.419,436.047
2000,9,27,0.000,86.098,64.686,55.197,437.031
2000,9,28,0.000,89.552,65.102,54.092,465.944
2000,9,29,0.000,87.494,62.467,50.087,455.425
2000,9,30,0.000,85.920,62.306,47.473,510.814
2000,10,1,0.000,87.585,56.164,43.762,502.564
2000,10,2,0.000,87.030,57.877,45.417,494.185
2000,10,3,0.000,86.153,59.884,48.522,475.825
2000,10,4,0.000,83.806,60.245,48.978,467.226
2000,10,5,0.000,84.119,59.964,50.801,480.476
2000,10,6,0.000,88.007,60.726,46.314,478.680
2000,10,7,0.000,86.013,57.959,48.937,394.489
2000,10,8,0.085,73.287,51.229,45.661,237.987
2000,10,9,0.000,65.544,41.881,40.332,357.564
2000,10,10,0.705,67.616,45.368,44.170,340.370
2000,10,11,0.955,62.503,58.502,57.164,247.466
2000,10,12,0.420,70.234,55.000,55.145,216.485
2000,10,13,0.000,70.930,45.479,47.336,398.258
2000,10,14,0.000,71.676,47.222,42.221,385.994
2000,10,15,0.000,71.955,46.525,40.499,412.178
2000,10,16,0.000,72.354,49.205,42.581,433.138
2000,10,17,0.000,75.737,50.352,43.380,441.775
2000,10,18,0.025,74.139,49.437,42.831,424.163
2000,10,19,0.590,72.905,55.072,50.602,320.242
2000,10,20,0.125,69.280,50.230,49.801,326.754
2000,10,21,0.010,66.158,49.834,49.672,287.994
2000,10,22,1.375,59.350,50.645,48.331,210.778
2000,10,23,0.010,59.887,44.340,42.621,325.846
2000,10,24,0.000,65.067,42.086,40.151,393.929
2000,10,25,0.000,65.804,44.015,41.574,401.484
2000,10,26,0.000,67.604,46.442,41.833,378.475
2000,10,27,0.120,66.072,44.128,42.303,243.816
2000,10,28,0.045,56.809,41.695,43.080,250.060
2000,10,29,0.000,63.044,39.801,40.087,373.547
2000,10,30,0.000,65.987,38.256,37.433,404.959
2000,10,31,0.120,60.741,44.938,39.442,329.761
2000,11,1,0.000,55.771,32.741,29.417,412.687
2000,11,2,0.000,60.304,35.784,32.347,421.812
2000,11,3,0.000,62.386,41.238,34.865,330.461
